MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,HomeTeamPoints,AwayTeamPoints,HomeGoalScoringForm,AwayGoalScoringForm,HomeGoalsConceded,AwayGoalsConceded,HomeWinningForm,AwayWinningForm,HomeRecentGoalScoringForm,HomeRecentGoalsConceded,HomeRecentWinningForm,AwayRecentGoalScoringForm,AwayRecentGoalsConceded,AwayRecentWinningForm,HomeDaysSinceLastMatch,AwayDaysSinceLastMatch,HomeEloBefore,HomeEloAfter,AwayEloBefore,HomeTiltBefore,AwayTiltBefore,Matchup,H2H_TotalMatches,H2H_HomeGoalsScored,H2H_AwayGoalsScored,H2H_HomeWinRate,HomeGoalDifferenceForm,AwayGoalDifferenceForm,HomeSeasonToDateGoalsScored,HomeSeasonToDateGoalsConceded,HomeSeasonToDateGoalDifference,HomeSeasonToDatePoints,AwaySeasonToDateGoalsScored,AwaySeasonToDateGoalsConceded,AwaySeasonToDateGoalDifference,AwaySeasonToDatePoints,HomeAvgShotsTaken,HomeAvgShotsOnTarget,HomeAvgCornersTaken,AwayAvgShotsTaken,AwayAvgShotsOnTarget,AwayAvgCornersTaken
2000-2001_Arsenal_Liverpool,2000-2001,1,2000-08-21,Arsenal,Liverpool,2,0,H,1.0,0.0,H,17.0,7.0,12.0,4.0,10.0,11.0,25.0,20.0,2.0,4.0,1.0,2.0,3,0,0.0,0.8,0.0,2.2,0.0,0.4,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1487.1438935222513,0,1512.8561064777487,0.9873572120038722,0.9873572120038722,Arsenal vs Liverpool,0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0,3.0,14.0,7.0,9.0,16.0,10.0,6.0
2000-2001_Bradford_Chelsea,2000-2001,1,2000-08-22,Bradford,Chelsea,2,0,H,1.0,0.0,H,12.0,14.0,3.0,6.0,6.0,4.0,14.0,16.0,0.0,1.0,0.0,0.0,3,0,1.0,1.2,0.8,2.0,1.4,0.6,0.0,1.0,0.0,4.0,2.0,3.0,3.0,3.0,1487.1438935222513,0,1518.1812801401445,0.9873572120038722,1.0241432720232333,Bradford vs Chelsea,0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,-1.0,0.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,17.0,10.0,7.0
2000-2001_Ipswich_Man United,2000-2001,1,2000-08-22,Ipswich,Man United,1,1,D,1.0,1.0,D,13.0,15.0,8.0,6.0,4.0,6.0,10.0,7.0,1.0,4.0,0.0,0.0,1,1,1.8,0.8,2.4,0.2,1.8,1.6,1.0,3.0,0.0,2.0,0.0,3.0,3.0,2.0,1481.8187198598555,0,1518.1812801401445,1.009428848015489,0.9947144240077445,Ipswich vs Man United,0,0.0,0.0,0.0,-2.0,2.0,1.0,3.0,-2.0,0.0,2.0,0.0,2.0,3.0,15.0,5.0,4.0,19.0,9.0,7.0
2000-2001_Middlesbrough_Tottenham,2000-2001,1,2000-08-22,Middlesbrough,Tottenham,1,1,D,0.0,1.0,A,12.0,11.0,6.0,4.0,5.0,5.0,9.0,18.0,2.0,1.0,0.0,0.0,1,1,0.6,0.2,0.8,1.8,1.0,0.4,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,1524.2451267310482,0,1518.1812801401445,1.009428848015489,1.009428848015489,Middlesbrough vs Tottenham,0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,16.0,9.0,4.0,20.0,6.0,3.0
2000-2001_West Ham_Leicester,2000-2001,1,2000-08-23,West Ham,Leicester,0,1,A,0.0,0.0,D,17.0,4.0,12.0,2.0,11.0,5.0,16.0,14.0,3.0,3.0,1.0,0.0,0,3,1.2,1.0,1.2,3.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,4.0,4.0,1481.8187198598555,0,1497.8561064777487,1.0241432720232333,0.98,West Ham vs Leicester,0,0.0,0.0,0.0,-2.0,0.0,2.0,4.0,-2.0,0.0,0.0,0.0,0.0,1.0,12.0,5.0,7.0,5.0,4.0,5.0
2000-2001_Newcastle_Derby,2000-2001,1,2000-08-23,Newcastle,Derby,3,2,H,1.0,1.0,D,9.0,10.0,4.0,5.0,9.0,6.0,23.0,11.0,0.0,3.0,1.0,0.0,3,0,1.0,1.4,1.2,2.6,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0,4.0,1481.8187198598555,0,1497.8561064777487,0.9947144240077445,1.009428848015489,Newcastle vs Derby,0,0.0,0.0,0.0,-2.0,0.0,0.0,2.0,-2.0,0.0,2.0,2.0,0.0,1.0,9.0,6.0,1.0,6.0,4.0,5.0
2000-2001_Southampton_Coventry,2000-2001,1,2000-08-23,Southampton,Coventry,1,2,A,0.0,1.0,A,12.0,7.0,4.0,5.0,6.0,5.0,18.0,20.0,5.0,3.0,0.0,0.0,0,3,1.4,0.6,3.0,0.8,0.4,1.4,2.0,2.0,1.0,1.0,3.0,0.0,4.0,4.0,1502.1438935222513,0,1475.7548732689518,1.009428848015489,1.009428848015489,Southampton vs Coventry,0,0.0,0.0,0.0,0.0,-2.0,2.0,2.0,0.0,1.0,1.0,3.0,-2.0,0.0,13.0,6.0,8.0,6.0,3.0,8.0
2000-2001_Everton_Charlton,2000-2001,1,2000-08-23,Everton,Charlton,3,0,H,0.0,0.0,D,13.0,8.0,8.0,4.0,3.0,5.0,17.0,15.0,2.0,1.0,0.0,1.0,3,0,0.8,0.8,3.8,1.0,0.2,1.2,0.0,2.0,0.0,4.0,0.0,3.0,4.0,4.0,1481.8187198598555,0,1525.712212955497,0.9947144240077445,1.009428848015489,Everton vs Charlton,0,0.0,0.0,0.0,-2.0,4.0,0.0,2.0,-2.0,0.0,4.0,0.0,4.0,3.0,12.0,6.0,4.0,17.0,14.0,6.0
2000-2001_Man City_Sunderland,2000-2001,1,2000-08-23,Man City,Sunderland,4,2,H,2.0,0.0,H,15.0,9.0,10.0,4.0,7.0,3.0,24.0,14.0,3.0,3.0,0.0,0.0,3,0,1.4,0.6,2.4,1.0,1.0,1.2,0.0,4.0,0.0,1.0,0.0,3.0,4.0,4.0,1474.287787044503,0,1512.8561064777487,1.009428848015489,0.9873572120038722,Man City vs Sunderland,0,0.0,0.0,0.0,-4.0,1.0,0.0,4.0,-4.0,0.0,1.0,0.0,1.0,3.0,8.0,4.0,6.0,8.0,2.0,2.0
2000-2001_Everton_Derby,2000-2001,2,2000-08-26,Everton,Derby,2,2,D,2.0,0.0,H,12.0,7.0,9.0,4.0,11.0,2.0,11.0,9.0,2.0,3.0,0.0,0.0,1,1,3.0,2.0,0.0,3.0,3.0,0.0,1.5,1.0,1.5,2.0,2.5,0.5,3.0,3.0,1507.3428926794413,0,1484.3177377861773,0.9966856053474871,1.0262217997547918,Everton vs Derby,0,0.0,0.0,0.0,0.5,-0.5,3.0,2.0,1.0,3.0,4.0,5.0,-1.0,1.0,12.5,7.0,3.5,8.0,4.5,5.5
